id,name,category,action,label,totalEvents,uniqueEvents,eventValue
1387652,Chevrolet,brands,followed,1387652,632,555,0
4850155,ooffers,brands,followed,4850155,536,473,0
4960906,NAACP,brands,followed,4960906,517,451,0
3907781,Sony,brands,followed,3907781,497,428,0
1653151,Simon & Schuster,brands,followed,1653151,468,409,0
2389346,Monoprix,brands,followed,2389346,430,376,0
1838040,Juicy Couture,brands,followed,1838040,425,378,0
4362480,Food N.,brands,followed,4362480,399,357,0
4236123,eMusic,brands,followed,4236123,398,353,0
1125529,Roehampton University,brands,followed,1125529,380,339,0
3382567,Kennesaw State University,brands,followed,3382567,378,337,0
4501311,OUTMUSIC A.,brands,followed,4501311,373,306,0
1675213,Boston.com,brands,followed,1675213,367,320,0
3394354,Purdue University,brands,followed,3394354,365,322,0
4579353,Travel Channel,brands,followed,4579353,358,321,0
1618625,Nuclear Cowboyz,brands,followed,1618625,353,305,0
3049802,ecomagination,brands,followed,3049802,352,327,0
4215070,Clube do Assinante O Globo,brands,followed,4215070,349,312,0
4753686,Firefly,brands,followed,4753686,349,279,0
2407305,Berkeley College,brands,followed,2407305,348,310,0
4250163,Morgans Hotel Group,brands,followed,4250163,347,307,0
4717512,Fast Company,brands,followed,4717512,339,299,0
4499781,The Daily Sip,brands,followed,4499781,336,300,0
1581762,Washington C.,brands,followed,1581762,334,301,0
3107021,DailyCandy,brands,followed,3107021,333,301,0
1593133,Oakland Cemetery,brands,followed,1593133,328,297,0
1737342,USA TODAY,brands,followed,1737342,325,290,0
5273346,Times Square NYC,brands,followed,5273346,325,276,0
4085980,American University,brands,followed,4085980,323,282,0
3225840,Vogue,brands,followed,3225840,319,282,0
4515124,Vodafone P.,brands,followed,4515124,313,276,0
763642,Real Simple,brands,followed,763642,309,276,0
4876096,Philippine Airlines |.,brands,followed,4876096,304,247,0
347482,The Onion,brands,followed,347482,300,277,0
4106970,Florida State,brands,followed,4106970,300,268,0
2593535,Saint Joseph's University,brands,followed,2593535,297,254,0
4572451,Alumni U.,brands,followed,4572451,296,245,0
3318416,C��cile d.,brands,followed,3318416,294,257,0
5003365,VisitNC,brands,followed,5003365,289,252,0
2655682,Gansevoort Hotel Group,brands,followed,2655682,286,255,0
4229707,Hartford C.,brands,followed,4229707,284,247,0
1484786,Hofstra U.,brands,followed,1484786,282,245,0
4053216,Mommy Shorts,brands,followed,4053216,282,242,0
4804357,Duke University,brands,followed,4804357,281,255,0
4960697,The University of Scranton,brands,followed,4960697,281,250,0
2407886,Dover Business C.,brands,followed,2407886,280,248,0
4086675,Georgia S.,brands,followed,4086675,279,248,0
3795733,MarieClaire,brands,followed,3795733,277,239,0
4827120,CTnow.com,brands,followed,4827120,277,231,0
3647483,SoundDiego Blog,brands,followed,3647483,276,243,0
4697764,UCLA,brands,followed,4697764,275,241,0
2111540,Catawba County,brands,followed,2111540,273,234,0
4427579,Haighteration,brands,followed,4427579,269,221,0
4583472,Edmonton Oilers,brands,followed,4583472,269,246,0
226060,Grand Valley State University,brands,followed,226060,268,233,0
3226418,The University of Texas of the Permian Basin,brands,followed,3226418,268,234,0
1772284,Bridgestone Arena,brands,followed,1772284,267,238,0
3483778,Cubavera,brands,followed,3483778,267,239,0
2869391,H&M Sverige,brands,followed,2869391,266,245,0
3969273,Mizzou,brands,followed,3969273,265,240,0
1833119,American InterContinental University,brands,followed,1833119,264,232,0
2351118,The Journal News/LoHud.com,brands,followed,2351118,264,240,0
4764590,Mike,brands,followed,4764590,258,223,0
744696,Red Bull,brands,followed,744696,258,240,0
3648478,Algonquin H.,brands,followed,3648478,256,223,0
4118719,1. FC K��ln,brands,followed,4118719,256,234,0
2516801,Topguest,brands,followed,2516801,253,226,0
1203537,Perry Ellis,brands,followed,1203537,252,225,0
1314412,Style.com,brands,followed,1314412,249,232,0
4108698,The Daily Show,brands,followed,4108698,249,233,0
55232,Flavorpill NYC,brands,followed,55232,249,234,0
2670635,Theory,brands,followed,2670635,243,218,0
4557525,Lettuce,brands,followed,4557525,241,218,0
4832793,Alexander County,brands,followed,4832793,241,215,0
1297525,BBCRadio1,brands,followed,1297525,239,225,0
4537678,The University of San Francisco,brands,followed,4537678,239,210,0
4561403,RTR,brands,followed,4561403,239,208,0
1241858,The New York Daily News,brands,followed,1241858,238,209,0
1957543,sunyoswego,brands,followed,1957543,237,199,0
2068754,fyeguy,brands,followed,2068754,234,215,0
3232774,IUPUI,brands,followed,3232774,234,202,0
3799005,Seventeen,brands,followed,3799005,232,199,0
1839337,Los Angeles Times,brands,followed,1839337,228,214,0
352703,SPIN,brands,followed,352703,225,213,0
3796987,Slacker R.,brands,followed,3796987,225,205,0
2928225,SkyMall,brands,followed,2928225,223,210,0
3348812,Time Out M.,brands,followed,3348812,223,201,0
2732144,Drake University,brands,followed,2732144,221,196,0
3908889,Virginia Tech,brands,followed,3908889,221,188,0
1237754,Downtown Boulder,brands,followed,1237754,216,204,0
1701439,WhistlerBlackcomb M.,brands,followed,1701439,215,191,0
1326984,The Tennessean,brands,followed,1326984,213,197,0
3982252,NCAA,brands,followed,3982252,211,196,0
4652678,Tulaneu,brands,followed,4652678,211,162,0
1067256,Edmonton J.,brands,followed,1067256,209,175,0
3214207,BlackBerry,brands,followed,3214207,208,191,0
3357729,FMXOnline,brands,followed,3357729,208,188,0
1307334,HUGO BOSS,brands,followed,1307334,204,193,0
3230661,LIVESTRONG_COM,brands,followed,3230661,203,191,0
5094767,MIT,brands,followed,5094767,203,186,0
1942924,Loyola University New Orleans,brands,followed,1942924,202,184,0
4428248,SCAD,brands,followed,4428248,202,171,0
1503120,Aloft Hotels,brands,followed,1503120,201,194,0
4278043,UAlberta,brands,followed,4278043,201,176,0
1769287,nymag,brands,followed,1769287,200,182,0
4852779,Decibel M.,brands,followed,4852779,200,154,0
3452356,Visit Tuscany,brands,followed,3452356,199,189,0
1666563,VisitPhilly,brands,followed,1666563,198,177,0
4082309,Missouri State University,brands,followed,4082309,198,185,0
2327413,Welcome to Yorkshire,brands,followed,2327413,195,189,0
2960181,Lufthansa,brands,followed,2960181,195,182,0
3838334,REDBOOK,brands,followed,3838334,195,167,0
4379154,Aspen Snowmass,brands,followed,4379154,195,161,0
1618660,Monster Energy Supercross,brands,followed,1618660,194,183,0
171148,Intel,brands,followed,171148,194,189,0
4982794,Texas A&M University-Corpus Christi,brands,followed,4982794,194,166,0
1618576,Boutiqued,brands,followed,1618576,193,177,0
2540211,Volcom Entertainment,brands,followed,2540211,193,172,0
3091450,BlogHer,brands,followed,3091450,193,180,0
3377786,Jamba J.,brands,followed,3377786,192,182,0
4192126,Atlanta Thrashers,brands,followed,4192126,190,168,0
429202,Pace University,brands,followed,429202,190,180,0
1657350,ScreenScape,brands,followed,1657350,189,173,0
3602992,Liberty University,brands,followed,3602992,189,172,0
3086675,Jeep,brands,followed,3086675,188,175,0
4922115,Gunadarma U.,brands,followed,4922115,188,166,0
2356962,Crunch Gym,brands,followed,2356962,187,176,0
3500370,Tallahassee Democrat,brands,followed,3500370,187,165,0
5309777,Goldenvoice,brands,followed,5309777,185,143,0
2040628,BuzzFeed,brands,followed,2040628,184,171,0
2070299,Oregon D.,brands,followed,2070299,184,172,0
1082106,GQ,brands,followed,1082106,183,175,0
4302318,Sports Authority,brands,followed,4302318,182,163,0
925371,DonQ,brands,followed,925371,182,144,0
3646920,njdotcom,brands,followed,3646920,181,167,0
879576,VCU,brands,followed,879576,181,167,0
83989,Robert M.,brands,followed,83989,180,164,0
2277218,Chargers,brands,followed,2277218,178,166,0
2334572,Rolling Stone,brands,followed,2334572,178,155,0
2536922,Telegraph,brands,followed,2536922,178,167,0
4107726,Atlanta Hawks,brands,followed,4107726,178,146,0
1883093,METROrail,brands,followed,1883093,177,166,0
2371486,Gilt City,brands,followed,2371486,177,162,0
1126457,Umbro,brands,followed,1126457,176,164,0
4108596,The Colbert Report,brands,followed,4108596,176,174,0
1209712,EDP 24,brands,followed,1209712,175,157,0
2538162,Cal,brands,followed,2538162,175,162,0
2094395,Drury University,brands,followed,2094395,173,164,0
2979747,Rentonista,brands,followed,2979747,173,154,0
2465098,Rice U.,brands,followed,2465098,172,164,0
3228004,TouchdownRundown,brands,followed,3228004,172,165,0
2109233,Jones M.,brands,followed,2109233,171,161,0
3964060,Minnesota Wild,brands,followed,3964060,171,159,0
1191479,University of Louisville O.,brands,followed,1191479,170,160,0
4582409,San Diego's Bowl Games,brands,followed,4582409,170,153,0
2373886,Laurentian,brands,followed,2373886,169,156,0
2619393,Modelinia,brands,followed,2619393,169,156,0
3262181,Philadelphia Magazine,brands,followed,3262181,169,158,0
1408406,VisitBucksPA,brands,followed,1408406,168,155,0
3358174,IHRA,brands,followed,3358174,168,158,0
2611536,The New Yorker,brands,followed,2611536,167,154,0
3073406,University of Southern California,brands,followed,3073406,167,160,0
1202129,Original Penguin,brands,followed,1202129,166,158,0
1372183,Colorado,brands,followed,1372183,166,158,0
1150073,The Seattle Times,brands,followed,1150073,165,151,0
3663586,Four Points b.,brands,followed,3663586,165,159,0
64003,Bloomingdale's,brands,followed,64003,165,157,0
2962045,OU,brands,followed,2962045,164,149,0
3685114,Light The Night NY,brands,followed,3685114,164,154,0
1868764,VoiceStreet,brands,followed,1868764,163,155,0
2464309,Frommer's,brands,followed,2464309,163,156,0
3244046,Oscar de la Renta,brands,followed,3244046,163,150,0
3536222,Soul Train,brands,followed,3536222,163,151,0
1975808,TimeOut S.,brands,followed,1975808,162,145,0
1601896,NOWNESS,brands,followed,1601896,161,141,0
3921145,FIU,brands,followed,3921145,161,118,0
1286763,Tanteo T.,brands,followed,1286763,160,154,0
2619087,TravelOK,brands,followed,2619087,160,147,0
3904291,GourmetLive,brands,followed,3904291,160,149,0
2792304,Lord & Taylor,brands,followed,2792304,159,145,0
3450621,KLM S.,brands,followed,3450621,159,149,0
1618690,Arenacross,brands,followed,1618690,158,147,0
2727581,Sailing Spoken Here,brands,followed,2727581,158,148,0
3968757,Catraca Livre,brands,followed,3968757,158,144,0
1568845,Six Flags,brands,followed,1568845,156,152,0
2270881,Hershey Harrisburg,brands,followed,2270881,156,140,0
3302010,timescolonist,brands,followed,3302010,156,141,0
117717,lululemon athletica,brands,followed,117717,155,142,0
1066667,Utrechts Uitburo,brands,followed,1066667,153,140,0
2782786,Metro.co.uk,brands,followed,2782786,150,136,0
321287,LA Phil,brands,followed,321287,150,136,0
2391786,Cornell C.,brands,followed,2391786,148,141,0
4237709,Fashism,brands,followed,4237709,148,142,0
680644,Hilton Grand Vacations,brands,followed,680644,148,137,0
1681286,987LA,brands,followed,1681286,147,140,0
4559911,Highsnobiety,brands,followed,4559911,147,140,0
2960903,The Magnificent Mile,brands,followed,2960903,146,139,0
1759442,(RED),brands,followed,1759442,145,141,0
383992,Marc Jacobs Intl,brands,followed,383992,145,133,0
4070286,Foothill College,brands,followed,4070286,145,118,0
1734196,IntelWiMAX,brands,followed,1734196,144,135,0
4302443,S��DWEST PRESSE O.,brands,followed,4302443,144,133,0
4269226,La Biennale di Venezia,brands,followed,4269226,143,130,0
2234652,Northern Illinois University,brands,followed,2234652,142,132,0
1681171,KIIS FM,brands,followed,1681171,141,133,0
3052639,Windows Live Photo Gallery,brands,followed,3052639,141,132,0
3779900,University of Lincoln,brands,followed,3779900,141,133,0
4049899,Teen Vogue,brands,followed,4049899,140,125,0
2633456,Boston U.,brands,followed,2633456,138,129,0
275143,Journal M.,brands,followed,275143,138,123,0
3343338,Racked,brands,followed,3343338,137,129,0
360215,The New York Times,brands,followed,360215,137,127,0
1364936,Colorado College,brands,followed,1364936,136,133,0
1870591,Sears Blue Appliance Crew,brands,followed,1870591,136,127,0
211360,SFGate,brands,followed,211360,136,128,0
3323786,eHow,brands,followed,3323786,136,118,0
901653,InStyle,brands,followed,901653,136,128,0
2944196,MoMA,brands,followed,2944196,135,130,0
1747041,KidsClubThirteen,brands,followed,1747041,133,124,0
2814921,UW-Madison,brands,followed,2814921,133,126,0
4354366,Nashville Predators,brands,followed,4354366,132,123,0
1192925,Cornell U.,brands,followed,1192925,131,124,0
1781832,Cooking Channel,brands,followed,1781832,131,124,0
2517939,The University of Toledo,brands,followed,2517939,131,91,0
2748769,Concordia College,brands,followed,2748769,131,95,0
4121273,Brisk,brands,followed,4121273,131,121,0
4730845,Sony Ericsson Football,brands,followed,4730845,131,130,0
1618095,Advance Auto Parts Monster Jam,brands,followed,1618095,130,125,0
2613788,WestVirginiaU,brands,followed,2613788,130,118,0
4355776,College of Charleston,brands,followed,4355776,130,100,0
1127758,SF Giants,brands,followed,1127758,129,123,0
1514388,C-SPAN,brands,followed,1514388,129,115,0
1598023,University of Illinois Springfield,brands,followed,1598023,129,96,0
2502541,Epicurious,brands,followed,2502541,129,119,0
2769138,Northeastern U.,brands,followed,2769138,129,121,0
2817466,The Source M.,brands,followed,2817466,129,121,0
3462137,Indiana University Bloomington,brands,followed,3462137,129,105,0
1759725,Dora,brands,followed,1759725,128,122,0
2632562,Madewell,brands,followed,2632562,128,119,0
3300943,ExtraTV,brands,followed,3300943,128,118,0
1044528,Deeside College,brands,followed,1044528,127,111,0
1747442,azcentral,brands,followed,1747442,127,120,0
891126,HotelChatter,brands,followed,891126,127,122,0
3760650,Finger Lakes Wine Country,brands,followed,3760650,126,119,0
169961,National Wildlife F.,brands,followed,169961,125,120,0
2198695,Northstar-at-Tahoe Resort,brands,followed,2198695,125,101,0
2480128,evradio,brands,followed,2480128,125,114,0
340702,Visit Indiana,brands,followed,340702,124,113,0
611736,Marquette U.,brands,followed,611736,124,120,0
1236834,iVillage,brands,followed,1236834,123,116,0
398871,Live Nation,brands,followed,398871,123,116,0
4128086,86project,brands,followed,4128086,123,119,0
1240364,TBD,brands,followed,1240364,121,114,0
1501856,Bonnaroo,brands,followed,1501856,120,115,0
3400565,China Daily U.,brands,followed,3400565,120,114,0
4104113,Sony Ericsson Tennis,brands,followed,4104113,120,118,0
2659319,University of Adelaide,brands,followed,2659319,119,88,0
2089643,Standard Hotels,brands,followed,2089643,118,107,0
1828981,Swinburne U.,brands,followed,1828981,117,90,0
